from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT
1,,1.0000*,2,,1.0000,87.3,1000.0,8.7
1,,1.0000,39,,1.0000*,147.9,1000.0,14.8
2,,1.0000*,3,,1.0000,364.0,1000.0,36.4
2,,1.0000,25,,1.0000*,217.9,1000.0,21.8
3,,1.0000,4,,1.0000*,95.1,1000.0,9.5
3,,1.0000,18,,1.0000*,138.5,1000.0,13.8
4,,1.0000,5,,1.0000*,368.8,1000.0,36.9
4,,1.0000,14,,1.0000*,243.5,1000.0,24.4
5,,1.0000,6,,1.0000*,681.4,1000.0,68.1
5,,1.0000,8,,1.0000*,345.4,1000.0,34.5
6,,1.0000*,7,,1.0000,484.6,1000.0,48.5
6,,1.0000,11,,1.0000*,412.5,1000.0,41.2
7,,1.0000,8,,1.0000*,236.6,1000.0,23.7
8,,1.0000,9,,1.0000*,45.2,1000.0,4.5
9,,1.0000,39,,1.0000*,161.1,1000.0,16.1
10,,1.0000*,11,,1.0000,409.2,1000.0,40.9
10,,1.0000*,13,,1.0000,552.9,1000.0,55.3
13,,1.0000*,14,,1.0000,554.0,1000.0,55.4
14,,1.0000,15,,1.0000*,314.9,1000.0,31.5
15,,1.0000*,16,,1.0000,100.2,1000.0,10.0
16,,1.0000*,17,,1.0000,44.6,1000.0,4.5
16,,1.0000*,19,,1.0000,67.3,500.0,13.5
16,,1.0000,21,,1.0000*,336.9,500.0,67.4
16,,1.0000*,24,,1.0000,85.1,500.0,17.0
17,,1.0000*,18,,1.0000,29.7,500.0,5.9
17,,1.0000,27,,1.0000*,44.6,500.0,8.9
21,,1.0000,22,,1.0000*,611.1,500.0,122.2
22,,1.0000,23,,1.0000*,73.5,500.0,14.7
23,,1.0000*,24,,1.0000,354.8,500.0,71.0
25,,1.0000*,26,,1.0000,130.6,500.0,26.1
26,,1.0000,27,,1.0000*,321.6,500.0,64.3
26,,1.0000,28,,1.0000*,156.1,500.0,31.2
26,,1.0000,29,,1.0000*,207.2,500.0,41.4
28,,1.0000,29,,1.0000*,352.5,500.0,70.5
